ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NT0128,Iquitos varzea,NT,1,Amazon River and Flooded Forests,SA_TrF,SA_TrF
NT0216,Islas Revillagigedo dry forests,NT,2, ,N.A.,N.A.
NT0129,Isthmian-Atlantic moist forests,NT,1, ,NA_TrF,NA_TrF
NT0130,Isthmian-Pacific moist forests,NT,1, ,NA_TrF,NA_TrF
NT0217,Jalisco dry forests,NT,2,Southern Mexican Dry Forests,NA_TrF,NA_TrF
NT0218,Jamaican dry forests,NT,2, ,N.A.,N.A.
NT0131,Jamaican moist forests,NT,1,Greater Antillean Moist Forests,N.A.,N.A.
NT0132,Japura-Solimoes-Negro moist forests,NT,1,Rio Negro-Jurua Moist Forests,SA_TrF,SA_TrF
NT0401,Juan Fernandez Islands temperate forests,NT,4,Valdivian Temperate Rain Forests / Juan Fernandez Islands,N.A.,N.A.
NT0133,Jurua-Purus moist forests,NT,1,Southwestern Amazonian Moist Forests,SA_TrF,SA_TrF
NA1112,Kalaallit Nunaat high arctic tundra,NA,11, ,NA_TeG,NA_TeG
NA1113,Kalaallit Nunaat low arctic tundra,NA,11, ,NA_TeG,NA_TeG
NA0516,Klamath-Siskiyou forests,NA,5,Klamath-Siskiyou coniferous forests,NA_TeF,NA_TeF
NT1309,La Costa xeric shrublands,NT,13, ,SA_TrG,SA_TrG
NA,Lake, ,98, ,N.A.,N.A.
NA,Lake,NT,98, ,N.A.,N.A.
NT0219,Lara-Falcon dry forests,NT,2, ,SA_TrG,SA_TrG
NT0134,Leeward Islands moist forests,NT,1, ,N.A.,N.A.
NT0220,Lesser Antillean dry forests,NT,2, ,N.A.,N.A.
NT0709,Llanos,NT,7,Llanos Savannas,SA_TrG,SA_TrG
NA1114,Low Arctic tundra,NA,11,Canadian Low Arctic tundra,NA_TeG,NA_TeG
NT0802,Low Monte,NT,8, ,SA_TeG,SA_TeG
NT0135,Madeira-Tapajos moist forests,NT,1,Southwestern Amazonian Moist Forests,SA_TrF,SA_TrF
